Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
530010805060001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
530010805060002;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
530010805060004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
530010805060005;1;1;77032;77032;0;0;0;0;6;5;3;2;3;3;1;
530010805060006;1;0;1779217;1779217;0;0;0;0;2;8;25;65;70;16;0;
530010805060007;1;0;2363105;2363105;0;0;0;0;0;3;16;63;100;23;0;
530010805060008;1;0;2087550;2087550;0;0;0;0;3;12;32;67;96;22;1;
530010805060009;1;0;3752530;3752530;0;0;0;0;0;5;9;24;84;141;7;
530010805060010;1;0;2835799;2835799;0;0;0;1;1;5;7;10;51;90;10;
530010805060011;1;0;2315210;2315210;0;0;0;0;0;0;3;14;60;70;5;
530010805060012;1;0;3024948;3024948;0;0;1;0;2;8;9;33;101;85;2;
530010805060013;1;0;3525656;3525656;0;0;0;2;2;10;9;48;118;87;0;
530010805060014;1;0;2694349;2694349;0;0;0;0;0;9;14;45;86;82;7;
530010805060015;1;1;2714002;2705902;8100;0;0;0;3;7;18;62;87;65;1;
530010805060016;1;0;1216529;1216529;0;0;0;1;5;12;11;19;47;48;1;
530010805060017;1;0;727545;727545;0;0;0;4;25;57;26;30;16;3;1;
530010805060018;1;0;1129550;1129550;0;0;0;0;9;71;41;49;27;7;0;
530010805060019;1;0;1154167;1154167;0;0;0;1;14;67;58;51;20;4;1;
530010805060020;1;0;1952949;1952949;0;0;0;0;1;2;3;7;65;77;0;
530010805060021;1;0;1249093;1249093;0;0;0;0;5;8;8;10;39;41;0;
530010805060022;1;0;2687961;2687961;0;0;0;0;1;3;6;30;52;110;1;
530010805060023;1;0;1767227;1767227;0;0;0;1;4;13;10;20;45;61;1;
530010805060024;1;0;1101203;1101203;0;0;0;2;12;44;45;51;45;19;5;
530010805060025;1;0;2543774;2543774;0;0;0;1;1;4;7;19;70;80;0;
530010805060026;1;0;2781433;2781433;0;0;0;0;1;2;13;30;67;89;1;
530010805060027;1;0;4683098;4683098;0;0;0;1;1;2;13;31;95;155;1;
530010805060028;1;0;1562753;1562753;0;0;0;1;2;13;20;30;50;46;6;
530010805060029;1;0;3718947;3718947;0;0;0;0;0;6;4;25;78;118;1;
530010805060030;1;0;2697632;2697632;0;0;0;0;2;4;6;9;75;84;3;
530010805060031;1;0;476621;476621;0;0;0;1;11;28;13;32;19;15;9;
530010805060032;1;0;1718274;1718274;0;0;0;0;3;7;6;15;51;60;6;
530010805060033;1;0;1850625;1850625;0;0;0;1;3;26;15;13;44;69;5;
530010805060034;1;0;2139033;2139033;0;0;0;0;0;5;8;18;53;91;2;
530010805060035;1;0;5717844;5717844;0;0;0;0;7;14;14;47;101;140;4;
530010805060036;1;0;4820663;4820663;0;0;0;1;2;9;10;28;89;152;2;
530010805060037;1;0;1536230;1536230;0;0;1;0;3;16;10;41;72;53;4;
530010805060038;1;0;1957689;1957689;0;0;0;1;0;4;8;31;61;53;7;
530010805060039;1;0;3628024;3628024;0;0;0;0;0;2;7;31;83;117;1;
530010805060040;1;1;1576583;1575083;1500;0;0;0;2;16;3;20;47;52;2;
530010805060041;1;0;1845444;1845444;0;0;1;1;5;14;18;52;81;30;2;
530010805060042;1;0;2550672;2550672;0;0;0;0;5;18;31;73;98;42;1;
530010805060043;1;0;1836145;1836145;0;0;0;2;11;27;30;43;89;45;1;
530010805060044;1;0;2758385;2758385;0;0;0;0;0;2;3;12;80;82;2;
530010805060045;1;0;3184434;3184434;0;0;0;1;2;4;2;21;46;127;2;
530010805060046;1;4;717383;709673;7710;0;0;1;9;20;25;25;40;21;2;
530010805060047;1;0;2007877;2007877;0;0;0;1;1;5;5;40;71;50;2;
530010805060048;1;0;2164850;2164850;0;0;0;0;1;3;12;24;58;72;0;
530010805060049;1;0;938232;938232;0;0;0;0;6;55;53;42;21;4;0;
530010805060050;1;0;938500;938500;0;0;0;0;4;54;52;40;28;3;1;
530010805060051;1;0;1690161;1690161;0;0;0;1;11;20;21;41;65;46;7;
530010805060052;1;0;1248399;1248399;0;0;0;0;5;9;9;23;52;57;5;
530010805060053;1;0;1500943;1500943;0;0;0;0;2;6;4;15;55;58;1;
530010805060054;1;0;2397568;2397568;0;0;0;0;2;8;13;29;80;90;0;
530010805060055;1;0;2399697;2399697;0;0;0;0;2;7;4;21;57;77;15;
530010805060056;1;0;3546922;3546922;0;0;0;1;1;0;4;27;98;100;0;
530010805060057;1;0;3443833;3443833;0;0;0;0;1;2;9;30;74;108;3;
530010805060058;1;0;1242287;1242287;0;0;0;0;2;9;8;27;48;72;3;
530010805060059;1;0;2881890;2881890;0;0;0;0;5;6;11;38;86;95;2;
530010805060060;1;0;2174784;2174784;0;0;0;0;5;3;15;47;69;59;2;
530010805060061;1;0;2570089;2570089;0;1;0;1;2;7;10;26;78;88;25;
530010805060062;1;0;1114117;1114117;0;0;0;0;3;15;9;16;44;45;0;
530010805060063;1;0;2111188;2111188;0;0;0;0;3;4;1;23;58;62;9;
530010805060064;1;1;2424928;2423858;1070;0;0;0;4;12;6;12;48;81;2;
530010805060065;1;0;1986594;1986594;0;0;0;0;3;4;13;27;95;110;6;
530010805060066;1;0;2706002;2706002;0;0;0;1;2;6;7;26;80;88;2;
530010805060067;1;0;1535170;1535170;0;0;0;1;2;5;6;31;59;66;2;
530010805060068;1;0;2339214;2339214;0;0;1;1;7;19;18;54;96;56;11;
530010805060069;1;0;2177168;2177168;0;0;0;2;7;7;19;39;98;57;5;
530010805060070;1;0;1267334;1267334;0;0;0;2;5;32;37;60;83;53;5;
530010805060071;1;0;1542910;1542910;0;0;0;1;2;9;8;36;72;75;7;
530010805060072;1;0;2044020;2044020;0;0;0;1;1;4;10;13;64;89;1;
530010805060073;1;0;2064089;2064089;0;0;0;0;6;16;15;46;89;58;0;
530010805060074;1;0;3910511;3910511;0;0;0;0;0;5;7;18;61;177;1;
530010805060075;1;0;2166251;2166251;0;1;0;0;1;5;4;7;45;78;6;
530010805060076;1;0;2219651;2219651;0;0;0;1;9;24;22;53;77;58;1;
530010805060077;1;7;1459663;1443732;15931;0;0;3;14;25;24;45;66;40;6;
530010805060078;1;0;2013430;2013430;0;0;0;0;2;3;6;21;53;68;1;
530010805060079;1;0;508660;508660;0;0;0;2;12;24;26;35;30;9;7;
530010805060080;1;0;2495973;2495973;0;0;0;1;1;3;7;20;62;118;0;
530010805060081;1;0;1851607;1851607;0;0;0;1;2;7;6;24;80;121;6;
530010805060082;1;0;2845316;2845316;0;0;0;0;2;5;12;28;78;87;5;
530010805060083;1;0;1507604;1507604;0;0;0;0;5;9;17;27;43;53;1;
530010805060084;1;0;965924;965924;0;0;0;2;8;13;18;37;49;28;19;
530010805060085;1;0;1724117;1724117;0;0;0;2;10;13;20;46;79;41;5;
530010805060086;1;0;2137644;2137644;0;0;1;3;10;24;22;48;75;42;4;
530010805060087;1;0;1510295;1510295;0;0;0;0;2;15;15;50;60;19;3;
530010805060088;1;0;2283425;2283425;0;0;0;2;11;13;16;24;64;64;14;
530010805060089;1;0;3250150;3250150;0;0;0;0;2;10;12;28;69;97;3;
530010805060090;1;0;4116069;4116069;0;0;0;0;1;3;7;29;84;123;4;
530010805060091;1;0;1847652;1847652;0;1;0;2;1;4;7;31;46;62;3;
530010805060092;1;0;2053838;2053838;0;0;0;5;11;35;35;62;71;43;3;
530010805060093;1;0;685983;685983;0;0;0;3;4;17;16;21;29;37;9;
530010805060094;1;2;1732664;1727699;4965;0;1;2;7;19;32;54;79;50;2;
530010805060095;1;2;883093;879093;4000;0;0;1;17;44;37;34;40;18;23;
530010805060096;1;0;1352452;1352452;0;0;0;3;11;24;23;44;64;27;13;
530010805060097;1;0;1834268;1834268;0;0;0;0;6;10;10;30;61;47;0;
530010805060098;1;0;1501460;1501460;0;0;0;0;2;2;3;18;54;45;8;
530010805060099;1;0;2455628;2455628;0;0;0;0;0;4;9;18;64;75;4;
530010805060100;1;0;2432002;2432002;0;0;0;2;4;15;28;61;85;54;3;
530010805060101;1;0;1471691;1471691;0;1;0;2;3;10;21;34;54;33;9;
530010805060102;1;0;1154420;1154420;0;1;3;3;6;15;25;32;41;28;10;
530010805060103;1;1;743564;741204;2360;0;0;3;6;12;15;23;33;19;18;
530010805060104;1;0;2365927;2365927;0;0;0;2;7;15;21;62;98;45;2;
530010805060105;1;0;1805068;1805068;0;0;0;1;2;6;12;38;70;41;2;
530010805060106;1;0;2649706;2649706;0;0;1;0;1;11;8;34;92;78;20;
530010805060107;1;0;1082130;1082130;0;0;0;2;7;11;15;36;48;27;4;
530010805060108;1;0;1719861;1719861;0;0;0;1;5;7;22;40;66;37;3;
530010805060109;1;0;2343159;2343159;0;0;0;1;3;6;10;27;71;63;2;
530010805060110;1;0;3823403;3823403;0;0;0;0;1;4;5;15;78;116;4;
530010805060111;1;0;893280;893280;0;0;0;0;0;3;6;19;25;21;1;
530010805060112;1;0;2070875;2070875;0;0;1;0;2;4;18;29;78;98;4;
530010805060113;1;0;2342894;2342894;0;0;0;0;0;5;0;21;64;99;0;
530010805060114;1;0;2311432;2311432;0;1;1;0;1;1;7;23;49;70;8;
530010805060115;1;0;1496403;1496403;0;0;0;0;4;13;14;34;40;44;8;
530010805060116;1;0;1897926;1897926;0;0;0;0;2;5;9;37;59;52;2;
530010805060117;1;0;1842159;1842159;0;0;0;1;4;15;20;38;69;44;2;
530010805060118;1;0;3650987;3650987;0;0;0;0;2;3;10;20;70;118;1;
530010805060119;1;0;3120870;3120870;0;0;0;2;3;3;8;17;81;121;1;
530010805060120;1;0;1694405;1694405;0;0;0;2;2;13;16;38;57;44;1;
530010805060121;1;0;1531470;1531470;0;0;0;0;1;13;14;32;48;54;7;
530010805060122;1;0;914627;914627;0;0;0;0;4;7;10;18;46;32;8;
530010805060123;1;0;1993176;1993176;0;0;0;0;0;7;4;27;77;72;7;
530010805060124;1;0;2422011;2422011;0;0;0;0;1;8;9;27;79;76;1;
530010805060125;1;0;2522032;2522032;0;0;0;1;0;15;14;44;89;91;8;
530010805060126;1;0;627057;627057;0;0;0;1;4;8;8;22;50;23;2;
530010805060127;1;0;2346995;2346995;0;0;0;1;10;15;20;45;77;63;3;
530010805060128;1;0;1393168;1393168;0;0;0;0;1;4;10;31;50;40;0;
530010805060129;1;0;1980397;1980397;0;0;0;0;2;4;3;15;54;73;3;
530010805060130;1;0;2156421;2156421;0;0;0;0;7;10;16;55;66;63;1;
530010805060131;1;0;1646012;1646012;0;0;0;1;4;19;17;42;61;46;16;
530010805060132;1;0;2676908;2676908;0;0;0;0;1;5;5;27;77;75;0;
530010805060133;1;0;2091888;2091888;0;0;0;2;5;11;31;53;85;50;2;
530010805060134;1;0;1823812;1823812;0;0;1;3;7;21;25;46;75;38;6;
530010805060135;1;1;4341579;4340649;930;0;0;1;2;6;6;16;76;150;1;
530010805060136;1;0;4028231;4028231;0;0;0;0;1;5;10;26;92;143;0;
530010805060137;1;0;2604266;2604266;0;0;0;0;2;5;7;29;63;89;4;
530010805060138;1;0;1254850;1254850;0;0;0;1;8;20;18;36;55;46;5;
530010805060139;1;0;1770167;1770167;0;0;0;2;6;15;15;45;83;38;0;
530010805060140;1;0;1549521;1549521;0;0;1;2;8;38;54;77;67;13;4;
530010805060141;1;0;1122949;1122949;0;0;0;2;9;14;25;33;55;32;4;
530010805060142;1;0;1588126;1588126;0;0;0;0;1;0;12;46;73;21;0;
530010805060143;1;0;2623377;2623377;0;0;0;0;3;11;16;37;75;92;13;
530010805060144;1;0;903682;903682;0;0;0;1;6;19;21;44;56;24;0;
530010805060145;1;6;1096850;1088470;8380;0;0;2;13;26;13;38;50;20;3;
530010805060146;1;0;2371407;2371407;0;0;0;1;2;2;10;21;60;69;0;
530010805060147;1;0;2625760;2625760;0;0;0;1;2;1;2;9;33;83;1;
530010805060148;1;0;2835010;2835010;0;0;0;0;2;8;9;29;72;88;2;
530010805060149;1;2;1178796;1171796;7000;0;0;0;3;8;16;28;35;45;2;
530010805060150;1;0;1206348;1206348;0;0;0;2;11;28;19;53;58;35;4;
530010805060151;1;1;836280;835080;1200;0;0;0;9;23;25;28;33;23;0;
530010805060152;1;0;1505245;1505245;0;0;0;0;5;13;13;27;50;35;0;
530010805060153;1;0;1951765;1951765;0;0;1;1;3;7;15;19;51;56;0;
530010805060154;1;0;2328084;2328084;0;0;0;0;3;3;1;12;57;74;2;
530010805060155;1;0;3464996;3464996;0;0;0;1;3;1;5;27;71;108;5;
530010805060156;1;3;951336;944036;7300;0;0;1;7;13;13;35;43;15;0;
530010805060157;1;0;1343221;1343221;0;0;0;1;14;19;20;55;58;29;4;
530010805060158;1;0;1106397;1106397;0;0;1;1;6;8;12;34;56;24;3;
530010805060159;1;0;1316855;1316855;0;0;0;0;5;21;35;36;38;22;1;
530010805060160;1;0;2373648;2373648;0;0;0;1;2;42;40;72;91;27;1;
530010805060161;1;0;2069625;2069625;0;0;0;1;4;30;32;61;62;29;3;
530010805060162;1;0;3023381;3023381;0;0;0;0;2;4;9;34;85;91;1;
