Cod_setor;Situacao_setor;V422;V423;V424;V425;V426;V427;V428;V429;V430;V431;V432;V433;V434;V435;V436;V437;V438;V439;V440;V441;V442;V443;V444;V445;V446;V447;V448;V449;V450;V451;V452;V453;V454;V455;V456;V457;V458;V459;V460;V461;V462;V463;V464;V465;V466;V467;V468;V469;V470;V471;V472;V473;V474;V475;V476;V477;V478;V479;V480;V481;V482;V483;V484;V485;V486;V487;V488;V489;V490;V491;V492;V493;V494;V495;V496;V497;V498;V499;V500;V501;V502;V503;V504;V505;V506;V507;V508;V509;V510;V511;V512;V513;V514;V515;V516;V517;V518;V519;V520;V521;V522;V523;V524;V525;V526;V527;V528;V529;V530;V531;V532;V533;V534;V535;V536;V537;V538;V539;V540;V541;V542;V543;V544;V545;V546;V547;V548;V549;V550;V551;V552;V553;V554;V555;V556;V557;V558;V559;V560;V561;V562;V563;V564;V565;V566;V567;V568;V569;V570;V571;V572;V573;V574;V575;V576;V577;V578;V579;V580;V581;V582;V583;V584;V585;V586;V587;V588;V589;V590;V591;V592;V593;V594;V595;V596;V597;V598;V599;V600;V601;V602;V603;V604;V605;V606;V607;V608;V609;V610;V611;V612;V613;V614;V615;V616;V617;V618;V619;V620;V621;V622
5,30011E+14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,30011E+14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,30011E+14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5,30011E+14;1;49;11;0;30;0;8;0;11;0;30;0;8;0;11;0;30;0;8;0;11;0;30;0;8;0;11;0;30;0;8;0;11;0;30;0;8;0;0;11;0;30;2;6;10;1;4;26;2;6;0;11;0;30;0;8;0;11;0;30;0;8;49;0;0;0;49;0;0;0;49;0;0;0;49;0;0;0;49;0;0;0;49;0;0;0;2;47;0;0;16;33;0;0;0;49;0;0;0;49;0;0;49;0;0;0;0;0;49;0;0;0;0;0;49;0;0;0;0;0;49;0;0;0;0;0;49;0;0;0;0;0;49;0;0;0;0;0;2;47;0;0;0;0;16;33;0;0;0;0;0;49;0;0;0;0;0;49;0;0;0;0;2;0;47;0;2;0;47;0;2;0;47;0;2;0;47;0;2;0;47;0;2;0;47;0;2;0;0;47;2;0;14;33;0;2;0;47;0;2;0;47
5,30011E+14;1;676;15;0;0;0;661;0;15;0;0;0;661;0;15;0;0;0;661;0;15;0;0;0;661;0;15;0;0;0;661;0;15;0;0;0;661;0;15;0;0;0;661;0;15;0;0;0;661;0;0;15;0;0;0;661;0;15;0;0;0;661;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;0;676;0;0;0;676;0;0;676;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;0;0;676;0;0;0;0;0;676;0;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;676;0;0;0;0;676;0;0;0;676;0;0
5,30011E+14;1;777;3;0;0;0;774;0;3;0;0;0;774;0;3;0;0;0;774;0;3;0;0;0;774;0;3;0;0;0;774;0;3;0;0;0;774;0;3;0;0;0;774;0;3;0;0;0;774;0;0;3;0;0;0;774;0;3;0;0;0;774;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;0;777;0;0;0;777;0;0;777;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;0;0;777;0;0;0;0;0;777;0;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;777;0;0;0;0;777;0;0;0;777;0;0
5,30011E+14;1;793;11;0;64;0;718;0;11;0;64;0;718;0;11;0;64;0;718;0;11;0;64;0;718;0;11;0;64;0;718;0;11;0;64;0;718;0;6;5;3;61;712;6;6;5;3;61;712;6;0;11;0;64;0;718;0;11;0;64;0;718;793;0;0;0;793;0;0;0;793;0;0;0;793;0;0;0;793;0;0;0;793;0;0;0;721;72;0;0;721;72;0;0;0;793;0;0;0;793;0;0;793;0;0;0;0;0;793;0;0;0;0;0;793;0;0;0;0;0;793;0;0;0;0;0;793;0;0;0;0;0;793;0;0;0;0;0;721;72;0;0;0;0;721;72;0;0;0;0;0;793;0;0;0;0;0;793;0;0;0;0;732;0;61;0;732;0;61;0;732;0;61;0;732;0;61;0;732;0;61;0;732;0;61;0;721;11;0;61;721;11;0;61;0;732;0;61;0;732;0;61
5,30011E+14;1;662;443;0;166;0;50;0;443;0;166;0;50;0;443;0;166;0;50;0;443;0;166;0;50;0;443;0;166;0;50;0;443;0;166;0;50;0;443;0;166;0;50;0;443;0;166;0;50;0;0;443;0;166;0;50;0;443;0;166;0;50;662;0;0;0;662;0;0;0;662;0;0;0;662;0;0;0;662;0;0;0;662;0;0;0;662;0;0;0;662;0;0;0;0;662;0;0;0;662;0;0;660;0;2;0;0;0;660;0;2;0;0;0;660;0;2;0;0;0;660;0;2;0;0;0;660;0;2;0;0;0;660;0;2;0;0;0;660;0;2;0;0;0;660;0;2;0;0;0;0;660;0;2;0;0;0;660;0;2;0;0;486;0;176;0;486;0;176;0;486;0;176;0;486;0;176;0;486;0;176;0;486;0;176;0;486;0;176;0;486;0;176;0;0;486;0;176;0;486;0;176
5,30011E+14;1;527;399;0;70;0;52;0;399;0;70;0;52;0;399;0;70;0;52;0;399;0;70;0;52;0;399;0;70;0;52;0;399;0;70;0;52;0;399;0;70;0;52;0;399;0;70;0;52;0;0;399;0;70;0;52;0;399;0;70;0;52;527;0;0;0;527;0;0;0;527;0;0;0;527;0;0;0;527;0;0;0;527;0;0;0;527;0;0;0;527;0;0;0;0;527;0;0;0;527;0;0;527;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;0;0;527;0;0;0;0;0;527;0;0;0;0;212;0;315;0;212;0;315;0;212;0;315;0;212;0;315;0;212;0;315;0;212;0;315;0;212;0;315;0;212;0;315;0;0;212;0;315;0;212;0;315
5,30011E+14;1;463;377;0;44;0;42;0;377;0;44;0;42;0;377;0;44;0;42;0;377;0;44;0;42;0;377;0;44;0;42;0;280;97;33;11;26;16;377;0;44;0;42;0;377;0;44;0;42;0;0;377;0;44;0;42;0;377;0;44;0;42;463;0;0;0;463;0;0;0;463;0;0;0;463;0;0;0;463;0;0;0;339;124;0;0;463;0;0;0;463;0;0;0;0;463;0;0;0;463;0;0;463;0;0;0;0;0;463;0;0;0;0;0;463;0;0;0;0;0;463;0;0;0;0;0;463;0;0;0;0;0;339;124;0;0;0;0;463;0;0;0;0;0;463;0;0;0;0;0;0;463;0;0;0;0;0;463;0;0;0;0;447;0;16;0;447;0;16;0;447;0;16;0;447;0;16;0;447;0;16;0;323;124;16;0;447;0;16;0;447;0;16;0;0;447;0;16;0;447;0;16
