Cod_setor;Situacao_setor;V001;V002;V003
530010805060001;1;1;0;0
530010805060002;1;0;0;0
530010805060004;1;2;0;0
530010805060005;1;4;0;0
530010805060006;1;82;0;0
530010805060007;1;50;0;0
530010805060008;1;103;0;0
530010805060009;1;66;0;0
530010805060010;1;48;3;0
530010805060011;1;36;0;0
530010805060012;1;47;0;0
530010805060013;1;83;0;0
530010805060014;1;66;0;0
530010805060015;1;61;0;0
530010805060016;1;32;0;0
530010805060017;1;103;0;0
530010805060018;1;106;0;0
530010805060019;1;87;0;0
530010805060020;1;22;0;1
530010805060021;1;26;0;0
530010805060022;1;44;0;0
530010805060023;1;29;0;0
530010805060024;1;71;0;0
530010805060025;1;47;0;0
530010805060026;1;69;0;0
530010805060027;1;99;0;0
530010805060028;1;34;0;0
530010805060029;1;64;0;0
530010805060030;1;46;0;0
530010805060031;1;20;0;0
530010805060032;1;46;0;0
530010805060033;1;35;0;0
530010805060034;1;45;0;0
530010805060035;1;134;0;0
530010805060036;1;110;0;0
530010805060037;1;33;0;0
530010805060038;1;70;0;0
530010805060039;1;56;0;0
530010805060040;1;30;0;0
530010805060041;1;68;0;0
530010805060042;1;83;0;0
530010805060043;1;78;0;0
530010805060044;1;43;1;0
530010805060045;1;22;0;0
530010805060046;1;23;1;0
530010805060047;1;50;1;0
530010805060048;1;40;0;0
530010805060049;1;120;0;0
530010805060050;1;91;0;0
530010805060051;1;52;0;0
530010805060052;1;27;0;0
530010805060053;1;28;0;0
530010805060054;1;50;0;0
530010805060055;1;56;0;0
530010805060056;1;74;0;0
530010805060057;1;64;0;0
530010805060058;1;6;0;0
530010805060059;1;56;0;0
530010805060060;1;68;0;0
530010805060061;1;62;0;0
530010805060062;1;28;0;0
530010805060063;1;45;0;0
530010805060064;1;40;0;0
530010805060065;1;12;0;0
530010805060066;1;58;0;0
530010805060067;1;30;0;0
530010805060068;1;83;0;1
530010805060069;1;67;0;0
530010805060070;1;11;0;0
530010805060071;1;26;0;0
530010805060072;1;38;0;0
530010805060073;1;60;0;0
530010805060074;1;76;0;0
530010805060075;1;78;0;0
530010805060076;1;71;0;0
530010805060077;1;57;0;0
530010805060078;1;47;0;0
530010805060079;1;15;0;0
530010805060080;1;25;0;0
530010805060081;1;10;0;0
530010805060082;1;45;0;0
530010805060083;1;30;0;0
530010805060084;1;32;0;0
530010805060085;1;48;0;0
530010805060086;1;67;0;0
530010805060087;1;42;0;0
530010805060088;1;36;0;0
530010805060089;1;58;0;0
530010805060090;1;98;0;0
530010805060091;1;44;0;0
